'Borough','Pickup_Zone','trip_count','avg_duration_min'
'Manhattan','Penn Station/Madison Sq West',388236,18.103805417323481918
'Manhattan','Upper East Side North',478225,15.886869151550002676
'Manhattan','Lenox Hill East',330388,18.062060365388575178
'Manhattan','Midtown North',347001,18.083478145596121322
'Manhattan','Upper West Side South',363061,16.244923029463369523
'Manhattan','Midtown South',375953,17.75589235888528794
'Bronx','West Concourse',192061,14.860960840566277418
'Manhattan','World Trade Center',125029,21.46689967927440712
'Manhattan','Yorkville East',209797,13.513262820726701374
'Manhattan','Central Park',145691,16.256769464139857461
'Manhattan','Seaport',73303,19.618269375059682602
'Manhattan','Hudson Sq',121089,17.582026443359843881
'Manhattan','Garment District',255116,19.080285046802238468
'Queens','Richmond Hill',140629,15.681097071016645294
'Staten Island','Arden Heights',8881,16.895845062492962362
'Brooklyn','Bedford',316182,17.725199410466125904
'Queens','Kew Gardens',69361,16.201467683568577804
'Brooklyn','Midwood',108778,17.477219658386804468
'Queens','Saint Albans',146942,16.592614773175810682
'Brooklyn','Flatlands',194581,17.059178439827114459
'Brooklyn','East Flatbush/Remsen Village',216452,16.423516530223789544
'Queens','Howard Beach',43638,16.349763967184564705
'Bronx','Crotona Park East',97095,15.290787373191204068
'Bronx','Riverdale/North Riverdale/Fieldston',54622,17.805279923840209299
'Queens','Springfield Gardens South',67034,16.496733001163588205
'Queens','Rockaway Park',20327,22.484232793821026241
'Brooklyn','Brighton Beach',73674,16.160056464967286871
'Queens','Hillcrest/Pomonok',73436,18.078599052235961863
'Queens','Middle Village',68618,16.728190853711854657
'Manhattan','Governor''s Island/Ellis Island/Liberty Island',15,16.466666666666665008
'Manhattan','East Chelsea',422629,18.353302778559918095
'Manhattan','Murray Hill',458614,16.648902999036227612
'Manhattan','West Village',394143,16.520694265786783461
'Manhattan','Stuy Town/Peter Cooper Village',76075,16.873164640157738425
'Manhattan','Battery Park City',164797,19.438636625666728008
'Manhattan','Kips Bay',284781,16.607561599966289556
'Manhattan','Upper West Side North',317051,16.636553740565396708
'Brooklyn','Brooklyn Heights',153460,19.698462139971329776
'Manhattan','Financial District North',217251,20.332265444117636477
'Brooklyn','Boerum Hill',177928,19.490007193921137229
'Queens','Jackson Heights',267213,16.572711656992737516
'Brooklyn','Gowanus',64439,18.079129098837661615
'Manhattan','Washington Heights South',307492,16.978737658215496963
'Brooklyn','Cobble Hill',47298,18.720432153579434242
'Unknown','NA',29324,35.661471831946527366
'Brooklyn','Clinton Hill',199884,18.203127814132198381
'Bronx','Claremont/Bathgate',138417,15.285225080734303304
'Bronx','East Tremont',169957,15.362727042722572612
'Bronx','Fordham South',88003,15.741167914730180399
'Brooklyn','South Williamsburg',54588,15.526580933538505213
'Brooklyn','Bushwick South',393694,18.651203726752250133
'Brooklyn','Madison',79677,15.892704293585349084
'Queens','Saint Michaels Cemetery/Woodside',11618,12.418746772249957821
'Bronx','Spuyten Duyvil/Kingsbridge',119066,15.553659315001762131
'Staten Island','Grymes Hill/Clifton',34148,24.316299636874783018
'Queens','Ridgewood',203868,17.696225008338728912
'Staten Island','Westerleigh',24261,14.828448950991304222
'Brooklyn','Green-Wood Cemetery',1550,17.556774193548387863
'Manhattan','Meatpacking/West Village West',210696,17.859983103618482402
'Manhattan','Sutton Place/Turtle Bay North',308887,16.016964132514481811
'Manhattan','Flatiron',309776,16.487323097980475239
'Manhattan','Morningside Heights',177422,17.651706101836300177
'Manhattan','East Harlem South',316546,17.399411144035936693
'Manhattan','Lincoln Square West',235370,16.508437778816333896
'Bronx','Highbridge',139357,15.486950781087422512
